Название переменной;Значение переменной;Variable label;Статус переменной в RCVS-18;Статус переменной в RCVS-21;Статус переменной в RCVS-24
Q571_1N;Сумма (руб.);Household income (number) ;N;Y;Q570_1N
Q58;У вас есть работа?;Do you have a job at the moment? ;Y;Y;Y
Q69;Вы учитесь в настоящее время?;Are you currently studying? ;Y;Y;Y
Q691;Как вы обычно добираетесь до места учебы?;How do you usually get to your place of study? ;N;N;Y
Q692;Как вы обычно добираетесь до места работы?;How do you usually get to your place of work? ;N;N;Y
Q70;Вы получаете пенсию, пособие, стипендию от государства?;Do you receive pension, compensation, or stipend from state? ;Y;Y;Q
Q71;Искали ли Вы работу в течение последних 12 месяцев?;Did you search for a job during the last 12 months? ;Y;Y;Y
Q72;На работе Вы руководите другими людьми?;Do you supervise other people on your job? ;Y;Y;Y
Q73;Ваша работа связана с физическим трудом?;Does your job involve physical labor? ;Y;Y;F
Q701;Вы имеете инвалидность?;Do you have a disability? ;N;N;Y
Q702;Как часто вы пили алкоголь (включая пиво) в последние 30 дней?;How often did you drink alcohol (including beer) in the last 30 days? ;N;N;Y
Q743;Оцените свои навыки владения компьютером и смартфоном от 1 до 5: где «1» - очень плохо владею, а «5» - очень хорошо владею:;Rate your computer and smartphone skills from 1 to 5: where 1 is very poorly proficient and 5 is very proficient ;N;N;Y
Q74;Вы - предприниматель / фрилансер / самозанятый?;Are you an entrepreneur / freelancer / self-employed? ;Y;O;N
Q60;У Вас есть гражданство Российской Федерации?;Do you have Russian citizenship? ;Y;Y;N
Q61;Какое у вас образование?;What education do you have? ;Y;Y;Y
Q64;Есть ли среди Ваших знакомых работники правоохранительных органов или Вы сами там работаете или работали?;Do you or your acquaintances have work experience in law enforcement agencies? ;Y;Y;O
Q65;Привлекались ли Вы сами когда-нибудь к уголовной ответственности?;Do you have a criminal record? ;Y;Y;Y
Q420;Как вы считаете, употребление марихуаны в личных целях должно быть законным или незаконным?;Do you think personal use of marijuana should be legal or illegal? ;N;N;Y
Q664;Вы могли бы назвать браузер, который больше предпочитаете или которым пользуетесь обычно?;Could you name the browser that you prefer or that you usually use? ;N;Y;N
